9741	John Chard	Soon found out had a heart of glass. It often gets forgotten just what an exciting talent M. Night Shyamalan was during the early part of his film making career. True that Unbreakable, with its deliberate slow pacing and left-field narrative, would (and has) proved to be not everyone's cup-o-tea, but there's a film making craft here, and a genius idea brought to vivid life, that makes a spectrum of film lovers lament how his career nose dived, how his ideas quickly got as stupid as his acting... Unbreakable challenges the thought process, spinning a story that's of a adult comic book heart, but also of a clinical human examination. The narrative is consistently ambiguous, holding the patient viewers in enthral as the cosmic conundrums come tumbling off of the screen. It's refreshing to find a story like this that is so devoid of cliché, where the wonderfully reflective Bruce Willis and the brilliantly fascinating Samuel L. Jackson feed off each other, their character's destinies superbly steered by cast and director. Unbreakable is a complex movie, but not needlessly so, its strengths are numerous for those of a keen eye and ear. It represents Shyamalan's most clever cinematic offering, to which the sad realisation comes to pass that he would never, as yet, be this smart and vibrant again. 10/10
9741	Gimly	Not The Shamhammer's best, but certainly of the era when he was still making "good". Final rating:★★★ - I personally recommend you give it a go.
9741	msbreviews	If you enjoy reading my Spoiler-Free reviews, please follow my blog :) What a movie! This is one of the most underrated films out there, and it was unfairly compared to The Sixth Sense at the time the former was released. These are two very different movies, but both of them have a lot of twists, which was what brought fame to Shyamalan's films, especially The Sixth Sense. Unbreakable follows that same methodology. It has a lot of twists throughout the runtime, and they are quite diverse: some are very technical twists, related to our point of view of a particular scene that, as it progresses, we always find ourselves tricked (these ones, most people either don't catch them or just don't care ... For me, it's proof of brilliant writing); the others are the prominent plot twists, where something unpredictable happens to the overall story. This movie has all of that and much more. The story itself is incredibly captivating since the main plot holds a lot of mystery and suspense, but these only work as well as they did thanks to Shyamalan, both director and screenwriter. His very unconventional way of storytelling and the anxiety that he's able to convey to some fantastic scenes, elevate the film while delivering a perfect narrative. It's even more mind-blowing the fact that this movie still makes so much sense and it didn't lose its replay value after 17 years! In fact, I bet it would be a striking success nowadays, where the superhero genre is over-saturated. Each year, we get more and more movies following the excessively used genre's formula that makes almost every blockbuster an instant box office hit. Unbreakable is nowhere near that formula, and I genuinely think that any fan of comic-book films must watch this one so everyone can understand what a "grounded superhero movie" actually means. M. Night Shyamalan wrote a story that everyone can appreciate, without all of those big CGI fights and overwhelming visual effects. Comic-book fan or not, Unbreakable is the closest to what reality would be if superheroes really existed. Regarding the cast, Bruce Willis probably has his career-best dramatic performance in this film. He's terrific as David and I can feel all of the emotions which he wants to transmit to the screen. Samuel L. Jackson brilliantly plays Elijah, who has a real-life disease which SLJ portrayed beautifully and respectfully. The supporting cast is also worth praising since both Robin Wright (Audrey Dunn) and Spencer Treat Clark (Joseph Dunn) play magnificent roles as the wife and son of David, respectively. Everyone helped Shyamalan direct exquisite dialogue sequences that extended for minutes without end. The editing and production of this movie are unbelievable ... and it was filmed in 2000! There are so many long, one-take scenes that explain in just a few minutes, everything you need to know about a character or a specific place or event ... Even a full action sequence is filmed in just one-take (the stunt work is also pretty efficient)! The soundtrack is so important, especially in the last act where everything comes to a conclusion. It's inspirational and even epic, I dare calling it. It's just perfect! Throughout the runtime, you can barely notice it due to how subtle it is. However, when it is needed to deliver a new layer of feelings, it always raises the moment. As discussed above, this is a M. Night Shyamalan film, so a very powerful twist right at the end needs to happen ... and it does. It gives the audience an unpredictable perspective about the whole story. I risk myself in saying that it isn't exactly necessary, but the truth is that it makes sense and it does bring the movie to a whole other level, so very, very well done! Finally, I just wish that this film had been released now. It is so much different than what we are used to watching and experiencing, that I dare to say it is one of the best movies inside this genre. Once again, Shyamalan shows the audience why was he becoming one of the most popular directors/screenwriters and proves that his rather unconventional storytelling, unpredictable twists and excellent direction are skills to praise more often. Bruce Willis and Samuel L. Jackson have great chemistry, but the former has his career-best dramatic performance. The editing, production, soundtrack and even the pacing of this film are entirely flawless, as well as the ending twist that leaves us with our jaws dropped. Unbreakable is one of the most underrated superhero movies ever, but it sits way on top as one of my favorites.
550	Goddard	Pretty awesome movie. It shows what one crazy person can convince other crazy people to do. Everyone needs something to believe in. I recommend Jesus Christ, but they want Tyler Durden.
550	Brett Pascoe	In my top 5 of all time favourite movies. Great story line and a movie you can watch over and over again.
238	futuretv	The Godfather Review by Al Carlson The Godfather is a film considered by most to be one of the greatest ever made. From The American Film Institute to as voted by users on the Internet Movie Database (IMDB) it is consider to be one of the best. As a film that ranks as high as other masterpieces including Citizen Kane, Pulp Fiction and 12 Angry Men, The Godfather is an exceptional piece of cinema excellence that is flawless and is simply the pinnacle crime drama. The Godfather revolves around the Corleone’s, an Italian family with deep roots in the New York City mafia. The head of the Corleone’s is Don Vito Corleone, a man who takes care of his family and demands respect in return. His son Michael however, who just returned home from World War II, doesn’t want to become involved with the family business. The Sollozzo’s, a family of drug dealers, confront Don and request protection in exchange for profits from the Sollozzo’s drug sales. But Don declines the offer, for he is against selling narcotics. The rejected offer starts what turns into an all out mafia war between the two families with Michael diving deep into the mafia lifestyle. The characters are portrayed by a legendary all-star cast including Marlon Brando as Don, Al Pacino as his son Michael and James Caan as Don’s oldest son Sonny. The casting for this film has been considered by many to be the best casted film in history for their astonishing performances. All three main actors were nominated for an academy award, but only Marlon Brando won an Oscar for best actor in a leading role. It’s fascinating to watch how these characters change over the course of the movie, with one in particular changing drastically. Directer Francis Ford Coppola, being raised in an Italian-American family in New York, understood Italian culture exceptionally and made the film very authentically. Everything from the wedding dances to the cuisine to the terms used by the characters in Sicilian come from Coppola’s first-hand knowledge of Italian-American culture. Italian composer Nino Rota did an outstanding job making the soundtrack for the film, despite not getting the Oscar for best music (but he did win an Oscar for his work in the sequel, The Godfather: Part II). Virtually everyone recognizes that iconic trumpet solo once it starts playing. He also wrote the score for another great Italian film 8 1/2. This film should be immediately followed up by it’s sequel, The Godfather: Part II, which also won best picture. The series still holds the title of most best picture awards for a film series to this day. They’re both flawless crime dramas and have earned their titles as some of the best pieces of cinema ever. I will guarantee you won’t be able to see this film only once, as it gets better after continual viewings. There is really nothing more to add other than if you haven’t seen this movie yet, it’s about time you did. The Godfather is a movie you can’t refuse.
597	John Chard	Beautiful Romance - Tragedy Unbound. It has kind of become the popular thing to kick Titanic, the film and its achievements. It's like the love it garnered on release and the colossal waves it made in the history of cinema, never happened, or as some want you to believe, doesn't matter. I can tell you now that many of my macho fuelled friends will privately, under the influence of liquid refreshments, admit to having affection for the film, but socially in a circle environment? Not a bit of it! I have no such problems admitting my love for the film, I love it as much now as I approach 50, as I did when I sat there in awe at the cinema in 1997. You jump - I jump. Titanic is far from flawless, where even now with the advancements in technology the effects over 15 years later look a touch creaky. While it's true as well that away from Rose and Jack the characterisations are thin on the ground. But this is Rose and Jack's story, fully fleshed out for an hour and half and then framed by the terrible tragedy that unfolds for the next hour and half. The tie-in to the present day is superbly constructed by James Cameron - the search for the diamond - the real life filming of the Titanic wreckage - and the flashback telling of the story by a delightful Gloria Stuart as old Rose, and the sinking of the ship and its aftermath is stunning and heart breaking in equal measure. Never let go. So may scenes and dialogue exchanges stay in the memory for ever. The band playing on, the captain awaiting his fate, the mother ushering her children to sleep before the sea comes to take them, the old boy drinking his brandy as the water rushes in, or just Jack and Rose, polar opposites in society's class structure, making love, making art or just professing that neither will ever let go. It's what makes Titanic the wonderful piece of cinema it is, where beauty and tragedy merge to create something forever memorable. A film that deserved all the accolades and cash till ringing that it once did have. 9/10
240	jkbbr549	This is by far the greatest movie of all time! Even better than the first Godfather!
98	Eky	Gladiator has been my most favorite film of all time. It is an epic masterpiece in many ways and it really explains why despite the numerous viewings, Gladiator still amuses me with its powerful imageries and many other crucial aspects so that it won five Academy Awards. This film is very well written, the well-ensemble casts, the A-class acting (especially Russell Crowe and Joaquin Phoenix), the stunning cinematography and definitely a strong character of Maximus (magnificently portrayed by Russell Crowe) whose life, struggle, disappointment and anger really move the audience, as if the world attention centers on him. Gladiator is not a historical film, because it only used the history of the ancient Roman Empire merely as the time setting. All other aspects namely those gorgeous shots, the great storyline/plot, the fantastic cinematography, the vividly lavish colors, detailed production design and digital imaging (that successfully rebuilt the stunning beauty of the ancient Roman Empire) and all sell really well, making the 170 minute-long running time definitely worthwhile. The visual of great battle in the first 15 minutes really stole my heart. The gruesome pictures, the blood and violence just to beautiful to abandon. Everything in this movie seems perfectly balanced, Ridley Scott as the film director really did his homework well in redefining and revitalizing the big battle sequence once considered masterpiece from Spartacus and Ben Hur. In the end, once again, I would say that Gladiator perfectly combines some crucial elements such as good, moving story, dazzling visual, beautiful scenery, filming techniques, direction and touching music score into one harmonious, action-packed film about heroism and its true meaning.
98	John Chard	They said you were a giant. They said you can crush a man's skull with one hand. Ridley Scott's Gladiator is not a perfect film, I would think that the hardiest of fans, of which I'm firmly one, know this deep down. Yet just like Commodus in the film is keen to point out that he himself has other virtues that are worthy, so does Gladiator the film. Enough in fact to make it an everlasting favourite of genre fans and worthy of the Academy Award acknowledgements it received. In narrative terms the plot and story arc is simplicity supreme, something Scott and Russell Crowe have never shied away from. There has to my knowledge as well, never been a denial of the debt Gladiator owes to Anthony Mann's 1964 Epic, The Fall of the Roman Empire. Some folk seem very irritated by this, which is strange because the makers of Gladiator were not standing up bold as brass to proclaim they were unique with their movie, what they did do was reinvigorate a stagnant genre of film for a new generational audience. And it bloody worked, the influence and interest in all things Roman or historically swashbuckling of film that followed post Gladiator's success is there for all to see. What we do in life echoes in eternity. So no originality in story, then. While some of the CGI is hardly "Grade A" stuff, and there's a little over - mugging acting in support ranks as some of the cast struggle to grasp the period setting required, yet the way Gladiator can make the emotionally committed feel, actually overrides film making irks. Crowe's Maximus is the man men want to be and the man women want to be with. As he runs through the gamut of life's pains and emotionally fortified trials and tribulations, we are with him every step of the way, urging him towards his day of revenge splattered destiny - with Crowe superb in every pained frame, winning the Academy Award for Best Actor that he should have won for The Insider the previous year. Backing Crowe up is Joaquin Phoenix giving Commodus preening villainy and Connie Nielsen graceful as Lucilla (pitch Nielsen's turn here against that of Diane Kruger's in Troy to see the class difference for historical period playing). Oliver Reed, leaving the mortal coil but leaving behind a spicy two fold performance as Proximo the Gladiator task master. Olly superb in both body and CGI soul. Richard Harris tugging the heart strings, Derek Jacobi classy, David Hemmings also, while Djimon Hounso gives Juba - Maximus right hand man and confidante - a level of character gravitas that's inspiring. I didn't know man could build such things. Dialogue is literate and poetic, resplendent with iconic speeches. Action is never far away, but never at the expense of wrought human characterisations. The flaming arrows and blood letting of the Germania conflict kicks things off with pulse raising clarity, and Scott and his team never sag from this standard. The gladiator arena fights are edge of the seat inducing, the recreation for the Battle of Carthage a stunning piece of action sequence construction. And then the finale, the culmination of two men's destinies, no soft soaping from Scott and Crowe, it lands in the heart with a resounding thunderclap. A great swords and sandals movie that tipped its helmet to past masters whilst simultaneously bringing the genre alive again. Bravo Maximus Decimus Meridius. 10/10
