3	CRCulver	Released in 1986, Aki Kaurismaki's <i>Varjoja paratiisissa</i> (Shadows in Paradise) is one of the Finnish filmmaker's earliest efforts, and it stands as one of the most idiosyncratic romantic comedies of all time. The painfully shy Nikander (Matti Pellonpää), a garbage man, means the moody Ilona, a supermarket checkout girl. The film tracks their bumbling attempt to establish a lasting relationship: dates that end as soon as they've begun, a romantic getaway where they each retreat to separate hotel rooms, and rare conversations which employ the absolute bare minimum of words. Nikander's best and only friend Melartin (Sakari Kuosmanen), whom the garbage man only recently met through a spell in jail, gives some needed encouragement.    The film's soundtrack is rooted in early rock-and-roll, though unlike later Kaurismaki films where the characters seem to be living in a 1950s bubble, all the action takes place in contemporary Helsinki. I've criticized Kaurismaki's vision of Finland in other films, but <i>Varjoja paratiisissa</i> does, in my opinion, accurately depict the collection of gloomy, taciturn binge drinkers that are the Finns.    <i>Varjoja paratiisissa</i> is an early work and doesn't show the confidence of later efforts, but it's still quite entertaining, its leads and their struggles extremely charming, and I would recommend the film. Certainly the performances of Pellonpää (in a typical Pellonpää role) and Outinen (who seemingly reinvents herself in every film) will prove quite memorable.
11	Cat Ellington	(As I'm writing this review, Darth Vader's theme music begins to build in my mind...)    Well, it actually has a title, what the Darth Vader theme. And that title is "The Imperial March", composed by the great John Williams, whom, as many of you may already know, also composed the theme music for "Jaws" - that legendary score simply titled, "Main Title (Theme From Jaws)".    Now, with that lil' bit of trivia aside, let us procede with the fabled film currently under review: Star Wars. It had been at a drive-in theater in some small Illinois town or other where my mother, my older brother, and I had spent our weekly "Movie Date Night" watching this George Lucas directed cult masterpiece from our car in the parking lot. On the huge outdoor screen, the film appeared to be a silent one, but thanks to an old wire-attached speaker, we were able to hear both the character dialogue and soundtrack loud and clear. We even had ourselves a carful of vittles and snacks - walked back to our vehicle, of course, from the wide-opened cinema's briefly distant concession stand. Indeed, it had been a lovely summer evening that July.    From the time the film started, with my brother and I following along as our mother sped-read the opening crawl, I began to feel rather antsy, thinking that this movie, the first in a franchise that would soon be world-renowned, was going to be boring, due to its genre being Science Fiction: A respectably likable, but not a passionately lovable genre of mine DURING THAT TIME. I just didn't believe I was going to like Star Wars all that much ... But I soon found myself intrigued ... And awed.    George Lucas is a man with a phenomenal, and I do mean phenomenal imagination. Apart from his human characters (Han, Luke, Leia, and Obi-Wan Kenobi, among others), the droids: C-3P0, R2-D2, R2-series, and IG-88, not to mention those unusual characters like Jabba the Hutt, Yoda, and Chewbacca, just to name a few, are all creations of Lucas's phenomenal imagination. And I was completely in awe of each one of these strange beings. Then there was Vader ... And the evil Emperor ... And the Stormtroopers ... And the Spacecraft ... And the galaxies (I'll admit that I am a huge lover of the Universe in all its Celestial glory) ... And the magnificent planets ... The Lightsabers ... And so on. Star Wars is a gorgeously shot space opera; it is truly an epic masterpiece. We enjoyed this film tremendously. And my brother was a die-hard fan from that night onward. He, my brother, had even received for Christmas that year, nearly every Star Wars action figure that my mother could find, including two of the spacecraft: The Millennium Falcon and Star Destroyer. The Death Star space station had too been wrapped beneath our Christmas tree - tagged with his name. It was totally crazy, what the new Star Wars era. Frenzied! But it was great ... Even still, to this day.    I don't personally know anyone whom has yet to see Star Wars, but that certainly doesn't suggest there are still a few people out there who haven't. And if you're one of the latter, then you should know that this classic space opera comes highly recommended. The entire series is told backwards, so you'll definitely want to see Star Wars first, followed by its two sequels: The Empire Strikes Back and Return of the Jedi ... In that order. I trust that you'll too discover yourself to be a lifelong cult fan in the wake. 😊
12	Dave09	One of the best animated films I have ever seen. Great characters, amusing animation, and laugh-out-loud humor. Also, watch for the little skit shown after the credits. It's all great stuff that simply must be seen.
15	Gurre	"The Greatest Movie of All Time!" That's the general opinion of this movie, and I agree that it is a great movie, but I have seen better movies.     The story of Citizen Kane is simple, a newspaper tycoon named Charles Foster Kane (Orson Welles) dies, and his last word is "Rosebud". No one knows what it means, and a reporter starts interviewing people Kane knew, to see if they know the meaning of "Rosebud". Through flash-backs we get to see Kane's life.    Now, as I said, I don't agree that it's the greatest movie of all time, however it's great. I love this movie. It's a daring and controversial movie of its time, and it introduced alot of new technices in filmmaking. The acting is superb! Orson Welles as Kane is breathtaking, Joseph Cotten as Jed Leland is great. There's one performance I can hardly stand though and that's Dorothy Comingore's performance as Susan Alexander. Hideous performance to say the least! The writing is amazing, and Welles' directing is out-of-this-world!    In conclusion, great movie (however not the greatest ever made). It's definitly a movie you need to watch!    I give it a 9/10
15	talisencrw	I fondly recollect, growing up in Canada in the 70's and 80's, my mom taking my older sister and I to the cinema (my dad was more interested in watching bowling, hockey, or either crime shows, British sitcoms or hockey on TV). Despite all of his TV appearances over the years, and films he acted in to fund his own productions, the first time I was aware of Orson Welles was one of those startling and bizarrely professional yet unmistakably charismatic 'Paul Masson' wine commercials that they tend to make fun of on The Simpsons in these decades gone by. My first thought was 'that voice is amazing', then 'he looks like he'd be a fine grandfather or Santa Claus', and I instantly wanted to know who he was: Just the way he carried himself, I knew he must be both brilliant and someone who was really important.    As you can tell, I'm not going to unnecessarily repeat all the endless accolades this film has gotten over the years. If you're any type of film lover, you have either seen this or will eventually--unless you're hit by a bus tomorrow (Heaven forbid) or something else drastic. It's a hallmark of what is possible in cinema. I waited until I was 46 to see this, because of its stellar reputation. It's not my favourite Welles--either acting or directing, and not by a long shot in either regard--but I'm very glad that I finally saw it, and I'll probably revisit it every couple of years for the rest of my life. There's just something really special about it that's hardly ever seen any more--and I think of that just as wistfully as Charles Foster Kane did about his beloved 'Rosebud'. That a 25-year-old could be so gleefully and breathtakingly experimental and innovative, yet still endlessly entertain, is nothing short of miraculous.
18	GeekMasher	This movie is one of the best movies of all time! It has a great story lines and graphics of it's time and even to today's standards it is brilliant. The world is well though out and well demonstrated. Zorg is a great bad guy, played by Gary Oldman and Bruce Willis plays his role very well. All in all a excellent movie.
18	Matt Golden	A simple enough concept: Guy must save a World (in the Future!) from Evil! by protecting a Magical Macguffin, only in this case it’s a Girl! instead of a Thing.    There’s really not a lot of story here. Not a lot of character either. Why waste valuable screen time with such paltry concerns when you can instead have Chris Tucker prancing around as a flamboyant radio host in the most annoying cinematic sci-fi supporting character not created by George Lucas? Instead, the film casts actors who do a fair job of acting simply by being themselves: Bruce Wills is Korben Dallas, a brawny, shoot-first hero who, when the chips are down, is brawny and shoot-firsty. The Magical Girlfriend MacGuffin, Leeloo, is played by Mila Jovovich (in her breakout performance) and some strategically-placed wrappings (the wrappings have had a harder time breaking into more mainstream roles). Ian Holm turns up as the Old Mentor, and filling out the cast is Gary Oldman as the antagonist Zord (in his hammiest role ever).    The film seriously rises to the level of made-for-SciFi Channel-original and no higher. The plot is nonsensical, the acting committed but laughable, and the dialogue so stiff you’d think the script pages had been starched.    So where does the film go legitimately wrong? Two main places: first, Besson carries on the proud tradition of French filmmakers doing weird things solely for the sake of being weird. The entire film is filled to the brim with the kind of idiosyncratic touches that I’ve come to expect from that region. Most of the bits don’t work, but I’ll give them credit for keeping things interesting.    The second, more serious issue is another that seems to plague genre French directors, and that’s the whole matter being played (largely) for farce. The most successful (creatively) American (sci-fi/)action films are defined in very large part by their villain. This film, like so many other sci-fi/action films I’ve seen from French directors, never establish or maintain an element of power for the villains over the heroes. The villains are painted as clueless, moronic, out of their depth, or outright incompetent. That tradition continues here. What would Star Wars be without Darth Vader? Die Hard without Hans Gruber? Aliens without…uh, aliens?    Lacking a strong (or even memorable) central villain (we have two: a Gary Oldman so hammy I’m pretty sure Muslims couldn’t work on the film, and the other being a giant planet-size ball of…Pure!Evil! No joke.), the film sacrifices the one shot it had at having some kind of weight or dimension. There’s no sense of danger or peril, no chance that the Hero won’t triumph, and [spoilers!] the day is essentially saved by a Care Bear stare.    So, does what I’ve just said make it bad? Well, yes. Let’s try again. Does that made it unenjoyable? No, and it’s an important distinction to make. The film is an interesting curiosity. After a half-hour of the bizarre, if you can let yourself be swept into its idiosyncratic world you’ll find a perfectly watchable B (or C)-movie. It rankles a bit to think about how much was wasted making dreck this dreck-y, but it’s entertaining dreck.
18	Gimly	Ever since I first watched The Fifth Element in the late 90s, I've been inspired by Gary Oldman's Jean-Baptiste Emanuel Zorg.    _Final rating:★★★½ - I strongly recommend you make the time._
18	John Chard	Negative, I am a meat Popsicle.      It's 2259 and the Earth is in mortal danger from pure evil. The only hope Earth has is something called the fifth element, which comes in the form of the newly cloned Leeloo. Along with an ex forces cab driver and a priest called Cornellius, Leeloo must piece it together before the end of mankind arrives.    Depending on which side of the fence you sit on, The Fifth Element is either a child fantasy made by an adult, or an adult fantasy made by a child! Here in lies the problem that many critics and movie watchers can't agree on. Just what does Luc Besson's film want to be? Having conceived the concept for his film at a very early age, Besson I think waited until he was comfortable with his adult eyes, and armed with the technological advancements in the late 90s, to realise his vision. With the result being a beautiful piece of science fiction that is, yes- cartoonish in every other frame.    Crucial though is that Besson's futuristic vision of New York dominates proceedings, not even a villain overdrive from Gary Oldman can detract from the colourful vistas that Besson has crafted. The sea has dropped and New York is awash with flying cars, there are no take aways anymore, the Chinese junks fly to your front door to serve you food, how cool is that? Shape shifting aliens are amongst us, who in the context of this Jean-Paul Gautier clothed universe, blend in effortlessly, and opera divas are strangely beautiful and blue creatures. In short, the film is an art direction treat, a feast for the eyes, even as the comedy and action take control in the final third.    Bruce Willis quickly leaves behind his successful trip to harder edged roles (Twelve Monkeys) to play super cabbie Korben Dallas. Gun toting and with a quip at every turn, this is the Willis that the MTV generation loves and adores. Oldman, for better or worse as Zorg, gives a memorable performance (oh my, is that a Southern American accent?), but it's with Mila Jovovich (Leeloo) that the film gets its acting spurs. A pure revelation, it begs the question on why Jovovich has failed to progress in the acting world? (stop doing tripe like Resident "will work for food" Evil films would be a good start).    Sci-fi fans will obviously get the point that the support cast features Ian Holm (Alien) and Brion James (Blade Runner), which off sets the annoying and painful turn from Chris Tucker as zany, insecure DJ Ruby Rhod (is Besson having a pop at world DJs here I wonder?). To leave us with what? A film that mildly suffers from its director giving way to his heart over his head, but hey baby, it's one groovy and enjoyable romp from start to finish regardless. 8/10
19	Gurre	Metropolis is one of the greatest films ever made. It's amazing set design, brilliant cinematography, groundbreaking special effects and futuristic story truly makes it one of the must-sees in cinema!     It is set in the future, in a city called Metropolis where the citizens are divided into two groups: workers (who live under the ground and are working 10 hour shifts by enormous machines that keeps Metropolis working) and the royals (living in luxury in the great city on the surfice). And over them all, is the creator of Metropolis: Joh Fredersen (Alfred Abel). His son Freder (Gustav Fröhlich) falls in love with a woman of the working-class called Maria (Brigitte Helm) who preaches that a mediator will come and create peace and equality for both workers and royals. Joh Fredersen sees Maria as a big threat agains his "order", so he and the inventor Rotwang (Rudolf Klein-Rogge) kidnaps her and copies her appearence onto a robot, which will destroy the workers faith in Maria. However, Rotwang secretly plans to programme the robot to make the workers destroy the city and crush Joh Fredersen, as an act of vengeance against Fredersen for a sin he committed in the past...    Lang made this film in 1927, and it was a huge blockbuster event of that year. However, after the premiere, the US distributor heavily cut down the film, and thereafter the original version was considered lost for almost a decade. In 2008 they found the original version in Argentina (very damaged, but watchable), which became the basis for the most recent reconstruction (2010). If you are going to watch this movie (as I highly recommend that you do!) that's the version to watch!    Overall, Metropolis is a REALLY REALLY great movie, that you, once again, MUST watch!    I give it a 10/10
